epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82933,0.83296,0.71483,1.38109,0.85679,0.97622,0.9125,0.37281,2.03758,0.80431,2.958,0,0,0
2,4.85635,0.70996,0.47416,1.23405,0.85665,0.9824,0.9125,0.37445,2.04154,0.79142,2.9695,1.63399e-05,1.63399e-05,1.63399e-05
3,5.87515,0.7625,0.50628,1.26732,0.85816,0.99326,0.9125,0.38893,2.03167,0.77133,2.95167,3.20197e-05,3.20197e-05,3.20197e-05
4,6.79751,0.70103,0.51322,1.28288,0.85774,1,0.9125,0.39872,2.01809,0.76152,2.93232,4.70394e-05,4.70394e-05,4.70394e-05
5,7.75925,0.66401,0.51638,1.26229,0.83422,0.97437,0.87063,0.35797,1.98557,0.96691,2.90514,6.13989e-05,6.13989e-05,6.13989e-05
6,9.19402,0.67832,0.51515,1.22915,0.83972,1,0.87063,0.35824,1.97771,1.01431,2.93738,7.50984e-05,7.50984e-05,7.50984e-05
7,10.6203,0.69727,0.50116,1.15535,0.79031,0.98882,0.87063,0.32792,2.00342,1.22091,2.86912,8.81376e-05,8.81376e-05,8.81376e-05
8,11.9493,0.73235,0.50051,1.20344,0.79971,0.9,0.85396,0.30993,2.11168,1.19739,3.06382,0.000100517,0.000100517,0.000100517
9,13.2349,0.64124,0.5515,1.10347,0.84217,0.89781,0.85396,0.30549,2.11066,1.20401,3.01286,0.000112236,0.000112236,0.000112236
10,14.5416,0.57361,0.47762,1.07479,0.78005,0.98095,0.78771,0.29506,2.10382,1.17588,3.00631,0.000123295,0.000123295,0.000123295
11,16.0766,0.56709,0.44002,1.06169,0.78794,0.98422,0.78771,0.27945,2.03058,1.30973,2.85846,0.000133693,0.000133693,0.000133693
12,17.2932,0.66184,0.58571,1.14567,0.65786,0.99404,0.66333,0.24543,2.02696,1.43053,2.87066,0.000143432,0.000143432,0.000143432
13,18.53,0.68602,0.52159,1.14533,0.50453,0.71671,0.47423,0.22557,2.01534,1.64621,2.80839,0.00015251,0.00015251,0.00015251
14,19.641,0.74216,0.46995,1.21114,0.49794,0.62674,0.49717,0.21932,2.00835,1.69183,2.73967,0.000160929,0.000160929,0.000160929
15,20.7523,0.63103,0.55044,1.0702,0.50463,0.66681,0.63792,0.26649,2.18186,1.51507,2.94755,0.000168687,0.000168687,0.000168687
16,21.8583,0.6,0.55127,1.03514,0.50407,0.66557,0.64015,0.26366,2.18078,1.50362,2.94468,0.000175785,0.000175785,0.000175785
17,22.9594,0.66601,0.56265,1.08095,0.76659,0.46667,0.50101,0.23416,2.24548,1.48124,3.06297,0.000182223,0.000182223,0.000182223
18,24.0751,0.61226,0.4355,1.03123,0.81748,0.66667,0.66405,0.2286,2.08276,1.665,2.8643,0.000188001,0.000188001,0.000188001
19,25.5849,0.63166,0.53047,1.0809,0.88187,0.66667,0.61552,0.23043,1.90793,1.94636,2.74965,0.000193119,0.000193119,0.000193119
20,27.0421,0.50568,0.4454,0.96675,0.87422,0.66667,0.61574,0.26253,1.77335,1.92936,2.61669,0.000197576,0.000197576,0.000197576
21,28.507,0.60685,0.47087,1.0921,0.82404,0.66667,0.61146,0.23983,1.7467,1.9788,2.62622,0.000201374,0.000201374,0.000201374
22,29.8816,0.54771,0.46288,1.00104,0.76941,0.66667,0.60545,0.24079,1.73431,1.8999,2.68526,0.000204511,0.000204511,0.000204511
23,31.2365,0.58443,0.44158,1.10689,0.58197,0.66667,0.67448,0.29455,1.77021,1.70864,2.74734,0.000206988,0.000206988,0.000206988
24,32.5909,0.56919,0.43908,1.01533,0.79306,0.83333,0.7576,0.31427,1.68515,1.64248,2.62091,0.000208805,0.000208805,0.000208805
25,33.8256,0.60153,0.46358,0.98667,0.86511,0.82929,0.78244,0.31873,1.69056,1.55203,2.58767,0.000209962,0.000209962,0.000209962
26,35.0972,0.556,0.46,1.00982,0.87698,0.83333,0.8178,0.35285,1.71317,1.46293,2.51829,0.000210459,0.000210459,0.000210459
27,36.493,0.56588,0.48001,1.04494,0.87311,0.82061,0.8178,0.32655,1.75305,1.40917,2.50557,0.000210295,0.000210295,0.000210295
28,37.8641,0.44642,0.42116,0.98712,0.86665,0.81885,0.8178,0.29733,1.81542,1.38565,2.579,0.000209472,0.000209472,0.000209472
29,39.1958,0.52858,0.45914,0.95607,0.85951,0.66667,0.74708,0.27948,1.83584,1.48642,2.59897,0.000207988,0.000207988,0.000207988
30,40.3851,0.48553,0.36931,0.99848,0.67225,0.79406,0.79083,0.31525,1.92316,1.62296,2.72231,0.000205844,0.000205844,0.000205844
31,41.4785,0.49966,0.4153,0.9512,0.67179,0.78965,0.79083,0.33275,1.88345,1.59816,2.66404,0.000203041,0.000203041,0.000203041
32,42.5801,0.48027,0.37665,0.9583,0.65203,0.75016,0.80733,0.32146,1.87922,1.43991,2.66864,0.000199577,0.000199577,0.000199577
33,43.7694,0.51027,0.47757,1.08314,0.84351,0.66667,0.71383,0.29359,1.90044,1.45193,2.67188,0.000195452,0.000195452,0.000195452
34,44.8971,0.51296,0.40773,1.01229,0.85558,0.66667,0.84583,0.35341,1.91543,1.40785,2.65337,0.000190668,0.000190668,0.000190668
35,46.0303,0.55459,0.42954,1.0006,0.86058,0.66667,0.79633,0.3233,1.96692,1.43003,2.74292,0.000185224,0.000185224,0.000185224
36,47.3182,0.5457,0.43292,1.04543,0.85546,0.66667,0.80733,0.30404,2.00445,1.4124,2.84215,0.000179119,0.000179119,0.000179119
37,48.9557,0.55407,0.43217,0.99337,0.84365,0.66667,0.84583,0.3194,1.97618,1.34376,2.81173,0.000172354,0.000172354,0.000172354
38,50.2981,0.48652,0.37469,0.95082,0.84102,0.66667,0.87917,0.32564,1.9942,1.36603,2.83859,0.00016493,0.00016493,0.00016493
39,51.8257,0.55956,0.41883,1.00796,0.86572,0.66667,0.85733,0.33404,1.94012,1.2152,2.808,0.000156845,0.000156845,0.000156845
40,53.015,0.50101,0.40888,1.00359,0.68078,0.81244,0.84083,0.31704,1.94742,1.17934,2.85675,0.0001481,0.0001481,0.0001481
41,81.5876,0.48157,0.42404,0.96481,0.6909,0.82701,0.87917,0.29298,2.01128,1.08082,2.93306,0.000138694,0.000138694,0.000138694
42,82.9569,0.39041,0.36881,0.90399,0.73304,0.99027,0.87917,0.26633,2.09267,1.11871,3.00268,0.000128629,0.000128629,0.000128629
43,84.261,0.38626,0.37667,0.93485,0.71783,1,0.87917,0.25913,2.11097,1.10273,2.99558,0.000117904,0.000117904,0.000117904
44,85.3974,0.38757,0.35565,0.92854,0.73335,0.98237,0.89583,0.29152,2.13166,1.0748,3.01089,0.000106518,0.000106518,0.000106518
45,86.5272,0.40196,0.35056,0.86964,0.72943,0.96176,0.89583,0.29139,2.08164,1.08849,2.9058,9.44722e-05,9.44722e-05,9.44722e-05
46,87.6583,0.35165,0.31265,0.82113,0.73016,0.96337,0.93708,0.38659,2.00179,1.05299,2.78485,8.17663e-05,8.17663e-05,8.17663e-05
47,88.8214,0.34218,0.32009,0.86287,0.86341,0.96769,0.97833,0.4219,1.9343,1.01398,2.67936,6.84003e-05,6.84003e-05,6.84003e-05
48,89.9712,0.36595,0.30343,0.9046,0.86284,0.9712,0.97833,0.40237,1.90269,1.02434,2.63143,5.43742e-05,5.43742e-05,5.43742e-05
49,91.1017,0.37865,0.33696,0.89649,0.86261,0.97466,0.97833,0.39128,1.89627,1.02957,2.62601,3.96879e-05,3.96879e-05,3.96879e-05
50,92.2262,0.37779,0.32036,0.91459,0.86248,0.97681,0.97833,0.37128,1.91403,1.03211,2.64428,2.43415e-05,2.43415e-05,2.43415e-05
